iteration,latency_ns
0,1481212
1,1212977
2,982227
3,1506249
4,950243
5,940185
6,1433118
7,918741
8,930594
9,1004055
10,1361000
11,960354
12,1556440
13,894621
14,877576
15,1345426
16,1248781
17,925885
18,933417
19,1402913
20,903101
21,886448
22,888717
23,1383368
24,904600
25,1402807
26,1307575
27,929345
28,950494
29,894967
30,1354914
31,1388452
32,890213
33,880379
34,877836
35,1257218
36,1344849
37,1043641
38,1509122
39,900711
40,885417
41,886097
42,892380
43,1299553
44,930627
45,974732
46,1351845
47,1367320
48,903916
49,896418
50,1338154
51,1078213
52,885730
53,1333238
54,906013
55,1388148
56,883559
57,1420049
58,879274
59,882608
60,873283
61,869897
62,1311147
63,1221229
64,954041
65,1426402
66,900843
67,1423481
68,1364057
69,940511
70,1375000
71,892129
72,883015
73,877301
74,1385333
75,899408
76,1318204
77,1247693
78,1305622
79,880581
80,882673
81,1271133
82,1284399
83,950362
84,892388
85,8945625
86,1018900
87,1628666
88,1552732
89,922725
90,891074
91,882480
92,882064
93,1377558
94,1423506
95,964943
96,1462363
97,1409864
98,949769
99,881808
100,1292903
101,1084847
102,892013
103,945641
104,1455886
105,881317
106,882022
107,1444840
108,879883
109,873963
110,876662
111,874816
112,1463936
113,1434152
114,898198
115,883592
116,1439636
117,1334261
118,965058
119,1363056
120,897451
121,869901
122,939704
123,1329778
124,880856
125,1316375
126,895615
127,890213
128,3845764
129,1035150
130,1516114
131,1503588
132,923454
133,907830
134,905338
135,1509789
136,1244623
137,1034107
138,1495707
139,905478
140,905128
141,898964
142,1852329
143,1123525
144,912795
145,1431173
146,943297
147,901510
148,1570351
149,1405160
150,906075
151,892697
152,886954
153,1535408
154,3259689
155,2063823
156,971503
157,1529116
158,1353233
159,960007
160,1502521
161,969013
162,903904
163,901094
164,896372
165,1443736
166,1309652
167,913936
168,7954317
169,1868629
170,1429015
171,1143921
172,978696
173,916709
174,901939
175,1426093
176,1277411
177,981770
178,1364853
179,964420
180,1264202
181,940252
182,891742
183,1382701
184,901106
185,887069
186,1339299
187,919355
188,1325374
189,1400879
190,885879
191,936960
192,884226
193,888565
194,1276390
195,1299190
196,973822
197,1271862
198,893962
199,1426262
200,1385906
201,970497
202,1269241
203,841390
204,832709
205,832565
206,821947
207,1213905
208,1175052
209,1062371
210,1431223
211,1296076
212,919684
213,837830
214,831539
215,884791
216,1269291
217,842593
218,835420
219,1258286
220,1404570
221,835597
222,1272171
223,847867
224,837974
225,836619
226,840685
227,1272191
228,856939
229,1553136
230,847150
231,840751
232,1393388
233,830323
234,837088
235,902021
236,1363806
237,855361
238,828148
239,1378255
240,848332
241,1772853
242,1458667
243,839639
244,1079795
245,829005
246,1309346
247,846890
248,1370225
249,887935
250,1283275
251,892364
252,1378350
253,897555
254,1380159
255,887827
256,893814
257,932827
258,881503
259,1416201
260,1396165
261,887419
262,1305102
263,1281989
264,875583
265,8982841
266,1177276
267,967048
268,1466248
269,906900
270,891465
271,971482
272,1520052
273,890032
274,885359
275,884646
276,885458
277,1496329
278,1378918
279,973645
280,1398468
281,958961
282,1282442
283,882257
284,1286505
285,962385
286,898404
287,1295470
288,881886
289,1407549
290,877758
291,1337342
292,899026
293,886724
294,877202
295,932959
296,1404434
297,1352607
298,906232
299,897019
300,1379186
301,962059
302,1288478
303,1381770
304,973353
305,886146
306,841464
307,834257
308,1317532
309,1321821
310,844570
311,1290172
312,922003
313,1286801
314,884631
315,840569
316,1320772
317,841390
318,827669
319,832503
320,1419724
321,895413
322,1284024
323,930911
324,882809
325,3822602
326,1126530
327,882013
328,854352
329,1549309
330,865175
331,1368354
332,1331500
333,2389117
334,1535903
335,1435319
336,915547
337,896883
338,1405716
339,907311
340,1289496
341,1443666
342,919128
343,896632
344,892846
345,885133
346,1299495
347,1412983
348,905906
349,878323
350,1378556
351,1337256
352,8468448
353,1192994
354,982771
355,930635
356,1547109
357,947581
358,1422480
359,1010726
360,1521589
361,903529
362,917010
363,899805
364,1439995
365,1470240
366,926491
367,945875
368,1298090
369,850631
370,846993
371,1325522
372,837203
373,840524
374,836301
375,842828
376,1163750
377,951702
378,1361371
379,840871
380,839474
381,847046
382,1327784
383,841279
384,1267907
385,839779
386,830550
387,829470
388,894490
389,1284272
390,855208
391,1430762
392,835580
393,832436
394,1281746
395,823789
396,821762
397,1618971
398,907052
399,884486
400,885957
401,880028
402,1424663
403,884882
404,1434095
405,957008
406,1281964
407,946695
408,895058
409,1254232
410,1432393
411,896244
412,884181
413,1352932
414,889376
415,1412720
416,1723049
417,908996
418,890456
419,882698
420,873799
421,1269282
422,903043
423,874289
424,1529611
425,1394232
426,946486
427,890818
428,883201
429,1334788
430,944244
431,1487656
432,890130
433,871784
434,1321146
435,1351754
436,930561
437,880432
438,1383352
439,883469
440,882780
441,871986
442,1352121
443,902717
444,1423358
445,1257116
446,914332
447,882154
448,875166
449,1213785
450,890910
451,8783269
452,1072898
453,1373286
454,933507
455,1659662
456,1459738
457,921756
458,900048
459,894514
460,1392643
461,912131
462,943391
463,1437453
464,1277469
465,940672
466,889521
467,1267197
468,1073878
469,847698
470,827687
471,1266992
472,850767
473,1372491
474,943984
475,1331191
476,832202
477,837225
478,841357
479,832132
480,1260338
481,897226
482,844760
483,1387950
484,893570
485,848344
486,1228193
